No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
5723,14,C,Acer saccharum,0.053,Low,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,15.71,0.0,-0.32,9.53,9.37,14,49.0,1.0,0,0
6867,16,B,Quercus alba,0.105,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,12.77,21.84,4.69,17.55,24.49,33,115.5,0.0,0,1
5736,14,C,Acer saccharum,0.053,Low,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,17.08,0.0,-0.18,9.86,10.29,14,49.0,1.0,0,0
5800,14,A,Acer saccharum,0.06,Low,2016,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,15.57,0.0,-0.08,10.13,10.81,14,49.0,1.0,0,0
5889,14,B,Acer saccharum,0.074,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,11.9,0.0,-0.22,10.83,11.31,14,49.0,1.0,0,0
5902,14,D,Acer saccharum,0.059,Low,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,12.97,0.0,-0.22,10.02,10.54,14,49.0,1.0,0,0
6883,16,B,Quercus rubra,0.105,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,21.87,28.69,3.56,26.52,14.55,21,73.5,1.0,0,0
5909,14,B,Quercus rubra,0.074,Low,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,16.82,12.28,2.58,22.49,12.18,14,49.0,1.0,0,0
6886,16,D,Quercus alba,0.133,High,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,11.12,41.61,5.56,21.51,18.86,33,115.5,0.0,0,1
5916,14,D,Acer saccharum,0.059,Low,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,15.39,0.0,-0.09,10.0,10.68,14,49.0,1.0,0,0
5919,14,D,Acer saccharum,0.059,Low,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,12.97,0.0,-0.22,10.02,10.54,14,49.0,1.0,0,0
5932,14,D,Acer saccharum,0.059,Low,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,12.97,0.0,-0.22,10.02,10.54,14,49.0,1.0,0,0
6006,14,D,Acer saccharum,0.059,Low,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,15.39,0.0,-0.09,10.0,10.68,14,49.0,1.0,0,0
6007,14,D,Acer saccharum,0.059,Low,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.02,0.0,-0.26,10.74,11.0,14,49.0,1.0,0,0
6018,14,B,Acer saccharum,0.074,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,18.05,0.0,-0.13,10.24,10.73,14,49.0,1.0,0,0
6021,14,B,Acer saccharum,0.074,Low,2017,Prunus serotina,0,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,18.47,0.0,-0.63,13.61,11.92,14,49.0,1.0,0,0
6110,15,A,Quercus rubra,0.087,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,22.29,27.83,3.35,24.9,14.95,14,49.0,1.0,0,0
6913,17,A,Quercus rubra,0.095,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,2018-06-07,9.16,7.32,3.54,24.58,15.24,33,115.5,0.0,0,1
6914,17,A,Quercus alba,0.095,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,27.61,30.96,4.99,19.34,20.79,33,115.5,0.0,0,1
6117,15,C,Acer saccharum,0.103,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,14.91,0.0,-0.15,13.51,12.15,14,49.0,1.0,0,0
6128,15,A,Acer saccharum,0.087,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,14.72,0.0,-0.08,13.88,12.21,14,49.0,1.0,0,0
6198,15,A,Acer saccharum,0.087,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.08,0.0,0.0,13.87,12.17,14,49.0,1.0,0,0
6923,17,C,Quercus rubra,0.122,High,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,2018-06-07,14.89,7.8,3.74,24.28,16.16,33,115.5,0.0,0,1
